product_id,product_title,rating,total_reviews,price,top_reviews
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,0,"₹64,900",Such an great experience || Brilliant Camera with unbeatable video performance. Tip-top performance from the A18 Chip. Literally Apple's best value offering.
itmd9e540929f46b,Samsung Galaxy Watch 8 Classic,4.6,0,"₹46,999",No reviews found
itmfdb404ec1d0f4,"Nokia 105 Classic Single Sim Keypad Phone, Without Charger",3.9,0,"₹1,249","Phone colour Nice and phone size good. I like this phone || No camera mobile, all over awesome,good,no damages.."
itm6c336dc47593e,"Infinix SMART 9 HD (Neo Titanium, 64 GB)",4.1,0,"₹6,699",Sound low frequency but ok || Best bout not ricomend for gaming rivomend only call snd malti taking 🙂🤝👍
